"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"374","Azeez Al-Shaair","LB","HOU",81.5,0.707,2.63,81,82,-8.01,-6.26,-9.97,,175,211,,4,,37.5,23,,,-9999
"375","YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-8.02,-8.97,-5.86,,199,182,,5,,3.86,52,,,-9999
"376","YaYa Diaby","DL","TB",35.3,6.58,0.808,31.1,40.1,-8.02,-8.97,-5.86,,199,182,,5,,3.86,78,,,-9999
"377","Jaylon Jones","DB","IND",81.4,,0.272,,,-8.16,,,,,,,4,,4.15,,,,-9999
"378","Mike Sainristil","DB","WAS",81.1,4.38,0.749,77.9,83.9,-8.43,-6.36,-14.3,,176,263,,4,,3.67,45,,,-9999
"379","Kyle Van Noy","DL","BAL",34.5,,0.11,,,-8.83,,,,,,,5,,3.55,70,,,-9999
"380","Kyle Van Noy","DL","BAL",34.5,,0.11,,,-8.83,,,,,,,5,,3.55,96,,,-9999
"381","AShawn Robinson","DL","CAR",34.4,2.12,0.61,33,35.9,-8.94,-7.03,-10.1,,182,212,,5,,2.69,10,,,-9999
"382","Kenny Moore","DB","IND",80.4,4.24,0.221,77.7,83.5,-9.18,-6.6,-14.8,,178,268,,4,,,29,,,-9999
"383","Xavier Woods","DB","TEN",80.2,1.77,1.41,79,81.5,-9.4,-5.24,-16.8,,168,291,,4,,6.31,40,,,-9999
"384","Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.55,-9,-9.1,,200,207,,5,,8.74,51,,,-9999
"385","Josh Sweat","DL","ARI",33.8,4.24,0.019,31.1,36.9,-9.55,-9,-9.1,,200,207,,5,,8.74,71,,,-9999
"386","Zach Allen","DL","DEN",33.8,2.69,0.341,32,35.7,-9.57,-8.03,-10.3,,191,216,,5,,8.28,4,,,-9999
"387","Demarcus Lawrence","DL","SEA",33.4,8.27,0.106,28.1,39.5,-9.91,-11.9,-6.5,,223,189,,5,,2.3,85,,,-9999
"388","Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-10,-9.76,-10.1,,209,213,,5,,,30,,,-9999
"389","Tuli Tuipulotu","DL","LAC",33.3,4.1,0.414,30.3,35.9,-10,-9.76,-10.1,,209,213,,5,,,58,,,-9999
"390","Braden Fiske","DL","LAR",32.9,,0.0874,,,-10.4,,,,,,,5,,,61,,,-9999
"391","Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.5,-8.14,-12.4,,193,244,,5,,8.09,6,,,-9999
"392","Travon Walker","DL","JAC",32.8,1.2,0.162,31.9,33.6,-10.5,-8.14,-12.4,,193,244,,5,,8.09,43,,,-9999
"393","Tremaine Edmunds","LB","CHI",78.8,1.27,0.474,78,79.8,-10.6,-9.25,-12.2,,204,240,,4,,8.02,32,,,-9999
"394","George Karlaftis","DL","KC",32.7,8.63,0.0569,27.1,39,-10.7,-12.9,-7.01,,228,191,,5,,8.16,75,,,-9999
"395","Cameron Jordan","DL","NO",32.6,3.96,0.394,30.1,35.5,-10.7,-10,-10.5,,210,218,,5,,,54,,,-9999
"396","Devon Witherspoon","DB","SEA",78.8,5.73,0.453,75.1,83,-10.8,-9.18,-15.3,,203,271,,4,,11.3,22,,,-9999
"397","Keion White","DL","NE",32.2,,0.8,,,-11.1,,,,,,,6,,,9,,,-9999
"398","Keion White","DL","NE",32.2,,0.8,,,-11.1,,,,,,,6,,,33,,,-9999
"399","Cody Barton","LB","TEN",78.4,2.69,1.08,76.6,80.3,-11.1,-10.6,-11.6,,215,232,,4,,12.7,30,,,-9999
"400","Jaquan Brisker","DB","CHI",78.3,9.62,0.329,72.1,85.4,-11.3,-12.1,-12.9,,226,247,,4,,6.46,31,,,-9999
"401","Alontae Taylor","DB","NO",78,6.15,0.427,73.5,81.9,-11.6,-10.8,-16.3,,216,285,,4,,,47,,,-9999
"402","Sam Okuayinonu","DL","SF",31.4,,0.0295,,,-11.9,,,,,,,6,,,,,,-9999
"403","Kwity Paye","DL","IND",31.4,0.566,0.983,31,31.8,-12,-9.06,-14.2,,201,261,,6,,,8,,,-9999
"404","Cam Taylor-Britt","DB","CIN",77.5,2.05,2.28,76.2,79,-12,-8.03,-19.2,,192,325,,5,,,62,,,-9999
"405","Patrick Queen","LB","PIT",77.3,0.424,0.263,77,77.6,-12.2,-10.3,-14.4,,212,265,,4,,20.1,42,,,-9999
"406","Edgerrin Cooper","LB","GB",77,13.7,1.51,66.9,85.8,-12.5,-20.3,-6.15,,318,187,,5,,,60,,,-9999
"407","Quinnen Williams","DL","NYJ",30.4,5.52,0.112,26.3,33.9,-12.9,-13.7,-12.1,,238,236,,6,,,44,,,-9999
"408","Zach Sieler","DL","MIA",30.3,7.21,0.221,25,34.9,-13.1,-15.1,-11.1,,258,227,,6,,,46,,,-9999
"409","Adam Butler","DL","LVR",30.1,2.97,0.0296,27.9,32,-13.3,-12.2,-14,,227,256,,6,,,81,,,-9999
"410","Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-13.3,-16.7,-10.1,,276,215,,6,,,80,,,-9999
"411","Jonathon Cooper","DL","DEN",30,9.12,0.341,23.3,35.9,-13.3,-16.7,-10.1,,276,215,,6,,,97,,,-9999
"412","Christian Barmore","DL","NE",29.7,3.54,0.27,27.1,31.9,-13.6,-13,-14.1,,229,257,,6,,,57,,,-9999
"413","Jonathan Allen","DL","MIN",29.4,7,0.0167,24.3,33.9,-13.9,-15.8,-12.1,,262,238,,6,,,65,,,-9999
"414","Grover Stewart","DL","IND",29.4,0.919,0.131,28.7,30,-13.9,-11.3,-16,,220,281,,6,,,39,,,-9999
"415","Devin Lloyd","LB","JAC",75.5,14.5,1.44,64.9,84.8,-14,-22.4,-7.16,,347,195,,5,,8.69,63,,,-9999
"416","Zaven Collins","DL","ARI",29.3,4.17,0.367,26.2,31.9,-14.1,-13.9,-14.1,,240,258,,6,,,90,,,-9999
"417","Will Harris","DB","WAS",75.3,32.5,0.818,54.5,99.1,-14.3,-29.8,0.855,,413,123,,5,,5.52,95,,,-9999
"418","Davon Hamilton","DL","JAC",28.9,,0.0663,,,-14.4,,,,,,,6,,,,,,-9999
"419","B.J. Hill","DL","CIN",28.8,1.27,0.0926,28,29.8,-14.5,-12,-16.2,,224,283,,6,,,29,,,-9999
"420","Malcolm Koonce","DL","LVR",28.7,1.13,0.211,28,29.6,-14.6,-12,-16.4,,225,286,,6,,,27,,,-9999
"421","Da'Ron Payne","DL","WAS",28.5,10.2,0.154,21,35,-14.8,-19,-11,,302,226,,6,,,95,,,-9999
"422","Dexter Lawrence","DL","NYG",28.4,10.1,0.277,20.9,34.8,-15,-19.1,-11.1,,306,228,,6,,,92,,,-9999
"423","Geno Stone","DB","CIN",74.4,1.77,0.981,73.1,75.6,-15.1,-11.1,-22.7,,219,366,,5,,,71,,,-9999
"424","Calais Campbell","DL","ARI",28.1,,0.433,,,-15.2,,,,,,,6,,,,,,-9999
"425","Jack Campbell","LB","DET",74.1,1.63,0.223,73,75.3,-15.4,-14.2,-16.7,,250,289,,5,,,18,,,-9999
"426","Carson Schwesinger","LB","CLE",73.8,1.77,0.181,72.5,75,-15.6,-14.7,-17,,253,294,,5,,,53,,,-9999
"427","Rashan Gary","DL","GB",27.7,2.55,0.0653,26,29.5,-15.7,-14,-16.5,,242,288,,6,,,20,,,-9999
"428","Rashan Gary","DL","GB",27.7,2.55,0.0653,26,29.5,-15.7,-14,-16.5,,242,288,,6,,,35,,,-9999
"429","Terrel Bernard","LB","BUF",73.7,20.4,0.481,58.7,86.7,-15.8,-28.6,-5.25,,393,178,,5,,10.8,80,,,-9999
"430","Justin Reid","DB","NO",73.5,6.93,0.615,68.4,77.9,-16.1,-15.9,-20.4,,263,344,,5,,,64,,,-9999
"431","Demario Davis","LB","NO",73.2,11,1.35,66.2,81.2,-16.3,-21.1,-10.7,,327,223,,5,,5.18,57,,,-9999
"432","Taron Johnson","DB","BUF",72.8,13.4,0.104,63,81.4,-16.7,-21.2,-16.8,,330,292,,5,,,76,,,-9999
"433","Josh Metellus","DB","MIN",72.7,34.7,0.424,50.5,98.2,-16.8,-33.7,0,,436,130,,5,,6.67,89,,,-9999
"434","Tykee Smith","DB","TB",72.3,11.2,0.188,65.2,80.5,-17.2,-19.1,-17.7,,305,305,,5,,,80,,,-9999
"435","Michael Jackson","DB","CAR",72.1,3.25,0.15,70,74.5,-17.4,-14.2,-23.7,,248,378,,5,,,60,,,-9999
"436","Blake Cashman","LB","MIN",71.8,1.27,1.31,71,72.8,-17.6,-16.2,-19.2,,268,322,,5,,27.5,8,,,-9999
"437","Kamari Lassiter","DB","HOU",72,1.56,0.28,70.8,73,-17.6,-13.4,-25.3,,235,399,,5,,,16,,,-9999
"438","Marlon Humphrey","DB","BAL",71.7,2.9,0.147,69.6,73.6,-17.9,-14.7,-24.7,,252,392,,5,,,35,,,-9999
"439","Quentin Lake","DB","LAR",71.6,6.79,0.0608,66.6,75.9,-18,-17.7,-22.4,,290,362,,5,,,69,,,-9999
"440","Derek Stingley Jr.","DB","HOU",71.5,6.86,0.0296,67.1,76.5,-18.1,-17.2,-21.7,,285,354,,5,,,75,,,-9999
"441","Zyon McCollum","DB","TB",71.5,0.707,0.084,71,72,-18.1,-13.3,-26.3,,234,407,,5,,,33,,,-9999
"442","Evan Williams","DB","GB",71.4,11,0.43,64.4,79.4,-18.2,-19.9,-18.8,,310,319,,5,,2.23,67,,,-9999
"443","Talanoa Hufanga","DB","DEN",70.9,4.81,0.00198,67.9,74.5,-18.6,-16.4,-23.8,,271,380,,5,,4.15,20,,,-9999
"444","Bryan Cook","DB","KC",70.9,10.6,0.341,64.2,78.7,-18.6,-20.1,-19.5,,314,331,,5,,,25,,,-9999
"445","Nate Landman","LB","LAR",70.5,5.3,0.638,66.6,73.9,-18.9,-20.6,-18,,323,311,,6,,7.85,65,,,-9999
"446","Kyle Dugger","DB","NE",70.6,16.2,0.368,60.2,82.5,-19,-24,-15.7,,359,278,,5,,6.5,93,,,-9999
"447","Eric Murray","DB","JAC",70.2,23.3,0.0637,55.3,87.3,-19.3,-28.9,-10.9,,400,225,,5,,4.46,87,,,-9999
"448","Tyler Nubin","DB","NYG",70.2,4.31,0.0508,67,72.9,-19.4,-17.3,-25.3,,287,400,,5,,5.66,15,,,-9999
"449","Jalen Pitre","DB","HOU",70.1,19.7,0.0238,55.7,82.7,-19.4,-28.6,-15.5,,394,274,,5,,,84,,,-9999
"450","Kamren Kinchens","DB","LAR",70.1,,0.1,,,-19.5,,,,,,,5,,,44,,,-9999
"451","Quay Walker","LB","GB",69.9,1.7,0.294,68.6,71,-19.6,-18.6,-21,,297,349,,6,,6.24,7,,,-9999
"452","Ja'Quan McMillian","DB","DEN",70,,0.295,,,-19.6,,,,,,,6,,,,,,-9999
"453","Ivan Pace","LB","MIN",69.6,10.7,2.39,62.8,77.4,-19.9,-24.5,-14.5,,365,267,,6,,6.6,75,,,-9999
"454","Chauncey Gardner-Johnson","DB","HOU",69.7,1.06,0.156,68.9,70.4,-19.9,-15.3,-27.9,,261,419,,6,,,82,,,-9999
"455","Jalen Thompson","DB","ARI",69.5,11.5,0.0759,62.2,78,-20,-22.1,-20.2,,343,343,,6,,,53,,,-9999
"456","Minkah Fitzpatrick","DB","MIA",69.5,5.3,0.474,66.1,73.4,-20.1,-18.2,-24.9,,295,395,,6,,11.7,42,,,-9999
"457","Ugo Amadi","DB","NO",69,,0.7,,,-20.6,,,,,,,6,,,,,,-9999
"458","Andrew Wingard","DB","JAC",68.3,,0.0813,,,-21.3,,,,,,,6,,,,,,-9999
"459","Harrison Smith","DB","MIN",68.2,11.9,0.131,59.5,75.8,-21.3,-24.8,-22.4,,367,363,,6,,,73,,,-9999
"460","Cameron McGrone","LB","IND",67.2,,0.884,,,-22.3,,,,,,,6,,5.78,,,,-9999
"461","Frankie Luvu","LB","WAS",66.3,3.54,0.324,64.1,68.9,-23.2,-23.2,-23,,354,369,,6,,14.6,28,,,-9999
"462","Christian Rozeboom","LB","CAR",66,3.04,0.355,64,68.2,-23.5,-23.2,-23.7,,355,377,,6,,13.3,62,,,-9999
"463","Nakobe Dean","LB","PHI",65.6,22.3,1.56,51.3,82.1,-23.8,-35.9,-9.9,,453,210,,6,,9.82,95,,,-9999
"464","Payton Wilson","LB","PIT",64.1,9.05,1.3,57.4,69.9,-25.4,-29.8,-22.1,,415,360,,7,,,68,,,-9999
"465","Elandon Roberts","LB","LVR",62.8,11,0.166,54.7,69.8,-26.7,-32.6,-22.1,,431,361,,7,,7.1,73,,,-9999
"466","Henry To'oTo'o","LB","HOU",62.6,9.76,0.4,55.4,68.9,-26.9,-31.8,-23.1,,425,372,,7,,,72,,,-9999
"467","Tyrice Knight","LB","SEA",62.2,16.5,0.524,50.1,72.8,-27.3,-37.2,-19.2,,458,323,,7,,,78,,,-9999
"468","Micah McFadden","LB","NYG",61.7,3.54,1.68,59.1,63.9,-27.8,-28.2,-28,,388,420,,7,,4.85,47,,,-9999
"469","Nick Martin","LB","SF",60,,0.629,,,-29.5,,,,,,,7,,,43,,,-9999
"470","Pete Werner","LB","NO",59.4,0.566,1.21,59,59.8,-30.1,-28.3,-32.2,,389,445,,7,,,58,,,-9999
"471","Mack Wilson","LB","ARI",58.2,1.77,1.62,57,59.5,-31.3,-30.2,-32.5,,417,451,,8,,7.06,55,,,-9999
"472","Dre Greenlaw","LB","DEN",56.5,45,1.13,23.5,85.3,-32.9,-63.8,-6.62,,535,190,,8,,9.74,98,,,-9999
"473","Omar Speights","LB","LAR",55.4,0.636,0.234,55,55.9,-34.1,-32.3,-36.1,,428,472,,8,,,77,,,-9999
"474","Divine Deablo","LB","ATL",55.2,7.35,1.35,49.8,59.9,-34.3,-37.5,-32.1,,460,443,,8,,,85,,,-9999
"475","Trevin Wallace","LB","CAR",53.8,17,0.0212,41.3,64.7,-35.6,-45.9,-27.2,,489,413,,8,,,82,,,-9999
"476","Jaylon Carlies","LB","IND",53.8,26.2,0.216,34.5,70.6,-35.7,-52.7,-21.3,,510,352,,8,,,92,,,-9999
"477","Jaylon Carlies","LB","IND",53.8,26.2,0.216,34.5,70.6,-35.7,-52.7,-21.3,,510,352,,8,,,93,,,-9999
"478","Germaine Pratt","LB","LVR",53.6,26.9,0.083,36.4,73.3,-35.9,-50.9,-18.6,,503,317,,8,,6.58,90,,,-9999
"479","Jack Sanborn","LB","DAL",53.5,15.7,0.418,42,63.6,-36,-45.3,-28.4,,484,422,,8,,21.3,87,,,-9999
"480","Denzel Perryman","LB","LAC",53.1,,0.176,,,-36.4,,,,,,,8,,,83,,,-9999
"481","Demetrius Knight","LB","CIN",52.9,6.22,0.124,48.4,56.9,-36.5,-38.9,-35,,465,464,,8,,,48,,,-9999
"482","Marcelino McCrary-Ball","LB","NYJ",52.8,,1.9,,,-36.7,,,,,,,9,,,,,,-9999
"483","Jeremiah Owusu-Koramoah","LB","CLE",50.9,,0.26,,,-38.6,,,,,,,9,,,99,,,-9999
"484","Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.8,-39.2,-38.3,,466,488,,9,,,67,,,-9999
"485","Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.8,-39.2,-38.3,,466,488,,9,,,70,,,-9999
"486","James Williams","LB","TEN",50.4,,0.105,,,-39.1,,,,,,,9,,,88,,,-9999
"487","James Williams","LB","TEN",50.4,,0.105,,,-39.1,,,,,,,9,,,97,,,-9999
